69786,TELOK AYER CONSERVATION AREA,
69873,TELOK AYER CONSERVATION AREA,
69893,TELOK AYER CONSERVATION AREA,
69903,TELOK AYER CONSERVATION AREA,
69911,TELOK AYER CONSERVATION AREA,
69916,TELOK AYER CONSERVATION AREA,
78877,ICON,
78978,TANJONG PAGAR CONSERVATION AREA,
78979,TANJONG PAGAR CONSERVATION AREA,
78990,TANJONG PAGAR CONSERVATION AREA,
79122,80 SHENTON WAY SINGAPORE 079122,
79330,HERITAGE COURT,
79624,LUMIERE,
79908,M HOTEL SINGAPORE,
80005,EVERTON PARK,
80006,EVERTON PARK,
80007,7 EVERTON PARK SINGAPORE 080007,
80008,HDB-CENTRAL AREA,
80010,MULTI STOREY CAR PARK,
80012,CANTONMENT TOWERS,
82003,EVERTON PARK,
88323,5 TEO HONG ROAD SINGAPORE 088323,
88325,9 TEO HONG ROAD SINGAPORE 088325,
88384,6 TECK LIM ROAD SINGAPORE 088384,
88387,HOTEL SOLOHA,
88441,TANJONG PAGAR CONSERVATION AREA,
88448,TANJONG PAGAR CONSERVATION AREA,
88455,32 TANJONG PAGAR ROAD SINGAPORE 088455,
88458,35 TANJONG PAGAR ROAD SINGAPORE 088458,
88467,TANJONG PAGAR CONSERVATION AREA,
88487,TANJONG PAGAR CONSERVATION AREA,
88499,TANJONG PAGAR CONSERVATION AREA,
88518,TANJONG PAGAR CONSERVATION AREA,
88526,TANJONG PAGAR CONSERVATION AREA,
88530,TANJONG PAGAR CONSERVATION AREA,
88539,AMARA SINGAPORE,
88629,BLAIR PLAIN CONSERVATION AREA,
88631,BLAIR PLAIN CONSERVATION AREA,
88634,BLAIR PLAIN CONSERVATION AREA,
88639,BLAIR PLAIN CONSERVATION AREA,
88650,BLAIR PLAIN CONSERVATION AREA,
88657,BLAIR PLAIN CONSERVATION AREA,
88746,267 NEW BRIDGE ROAD SINGAPORE 088746,
88753,281 NEW BRIDGE ROAD SINGAPORE 088753,
88810,13 NEIL ROAD SINGAPORE 088810,
88818,TANJONG PAGAR CONSERVATION AREA,
88820,TANJONG PAGAR CONSERVATION AREA,
88832,60 NEIL ROAD SINGAPORE 088832,
88843,82 NEIL ROAD SINGAPORE 088843,
88857,126 NEIL ROAD SINGAPORE 088857,
88860,TANJONG PAGAR CONSERVATION AREA,
89139,32 KEONG SAIK ROAD SINGAPORE 089139,
89170,87 KEONG SAIK ROAD SINGAPORE 089170,
89315,10 HOE CHIANG ROAD SINGAPORE 089315,
89365,BLAIR PLAIN CONSERVATION AREA,
89384,BLAIR PLAIN CONSERVATION AREA,
89391,38 EVERTON ROAD SINGAPORE 089391,
89484,18 DUXTON ROAD SINGAPORE 089484,
89485,19 DUXTON ROAD SINGAPORE 089485,
89493,29 DUXTON ROAD SINGAPORE 089493,
89497,TANJONG PAGAR CONSERVATION AREA,
89506,TANJONG PAGAR CONSERVATION AREA,
89512,TANJONG PAGAR CONSERVATION AREA,
89514,TANJONG PAGAR CONSERVATION AREA,
89528,68 DUXTON,
89532,TANJONG PAGAR CONSERVATION AREA,
89587,TANJONG PAGAR CONSERVATION AREA,
89606,TANJONG PAGAR CONSERVATION AREA,
89615,TANJONG PAGAR CONSERVATION AREA,
89683,TANJONG PAGAR CONSERVATION AREA,
89734,7 CANTONMENT ROAD SINGAPORE 089734,
89739,15 CANTONMENT ROAD SINGAPORE 089739,
89741,19 CANTONMENT ROAD SINGAPORE 089741,
89748,45 CANTONMENT ROAD SINGAPORE 089748,
89760,MARITIME HOUSE,
89769,241 CANTONMENT ROAD SINGAPORE 089769,
89816,2 BUKIT PASOH ROAD SINGAPORE 089816,
89818,4 BUKIT PASOH ROAD SINGAPORE 089818,
89831,17 BUKIT PASOH ROAD SINGAPORE 089831,
89843,CHIN KANG BUILDING,
89855,41 BUKIT PASOH ROAD SINGAPORE 089855,
89905,BLAIR PLAIN CONSERVATION AREA,
89932,BLAIR PLAIN CONSERVATION AREA,
89936,BLAIR PLAIN CONSERVATION AREA,
89938,BLAIR PLAIN CONSERVATION AREA,
89942,BLAIR PLAIN CONSERVATION AREA,
89957,59 BLAIR ROAD SINGAPORE 089957,
90003,MOUNT FABER GREEN,
90018,MOUNT FABER VIEW,
90019,MOUNT FABER VIEW,
90022,HDB-BUKIT MERAH,
90027,@27 FAMILY SERVICE CENTRE,
90031,HDB-BUKIT MERAH,
90038,HDB-BUKIT MERAH,
90042,HDB-BUKIT MERAH,
90109,BUKIT PURMEI VILLE,
90114,BUKIT PURMEI VILLE,
98023,CORALS AT KEPPEL BAY,
98027,143 COVE DRIVE SINGAPORE 098027,
98059,79 COVE DRIVE SINGAPORE 098059,
98061,139 COVE DRIVE SINGAPORE 098061,
98062,KUSU ISLAND KIOSK 21,
98064,KUSU ISLAND ENV CONTROL UNIT,
98067,93 COVE DRIVE SINGAPORE 098067,
98072,SENTOSA BOARDWALK,
98098,78 COVE DRIVE SINGAPORE 098098,
98101,119 COVE DRIVE SINGAPORE 098101,
98104,6 PEARL ISLAND SINGAPORE 098104,
98130,6 COVE GROVE SINGAPORE 098130,
98141,RESORTS WORLD STATION  (S2),
98142,121 COVE DRIVE SINGAPORE 098142,
98146,66 COVE DRIVE SINGAPORE 098146,
98169,THE GREEN COLLECTION,
98188,KASARA,
98191,KASARA,
98200,64 OCEAN DRIVE SINGAPORE 098200,
98206,CAPE ROYALE,
98208,CAPE ROYALE,
98220,102 COVE DRIVE SINGAPORE 098220,
98224,132 COVE DRIVE SINGAPORE 098224,
98272,36 COVE WAY SINGAPORE 098272,
98275,32 COVE WAY SINGAPORE 098275,
98321,36 LAKESHORE VIEW SINGAPORE 098321,
98324,2 BRANI TERMINAL AVENUE SINGAPORE 098324,
98337,SENTOSA COVE,
98340,17 TREASURE ISLAND SINGAPORE 098340,
98343,SENTOSA COVE,
98344,SENTOSA COVE,
98350,18 TREASURE ISLAND SINGAPORE 098350,
98369,THE RESIDENCES AT W SINGAPORE SENTOSA COVE,
98370,THE RESIDENCES AT W SINGAPORE SENTOSA COVE,
98389,270 OCEAN DRIVE SINGAPORE 098389,
98395,TURQUOISE,
98396,75 COVE DRIVE SINGAPORE 098396,
98398,34 LAKESHORE VIEW SINGAPORE 098398,
98416,REFLECTIONS AT KEPPEL BAY,
98425,54 OCEAN DRIVE SINGAPORE 098425,
98429,PARADISE ISLAND,
98437,44 LAKESHORE VIEW SINGAPORE 098437,
98441,54 LAKESHORE VIEW SINGAPORE 098441,
98442,71 OCEAN DRIVE SINGAPORE 098442,
98451,THE COAST AT SENTOSA COVE,
98452,253 OCEAN DRIVE SINGAPORE 098452,
98454,189 OCEAN DRIVE SINGAPORE 098454,
98456,SENTOSA COVE,
98491,PARADISE ISLAND,
98522,BEACH OPERATION OFFICE,
98524,ANIMAL AND BIRD ENCOUNTERS,
98534,THE OCEANFRONT @ SENTOSA COVE,
98538,259 OCEAN DRIVE SINGAPORE 098538,
98540,229 OCEAN DRIVE SINGAPORE 098540,
98554,CORAL ISLAND,
98558,CORAL ISLAND,
98560,CORAL ISLAND,
98575,THE VILLAS @ SENTOSA COVE,
98584,THE AZURE,
98593,SAINT JOHN'S ISLAND LODGE (BLK 12),
98608,THE BERTHSIDE,
98610,THE BERTHSIDE,
98632,KEPPEL BAY TOWER,
98636,CARIBBEAN AT KEPPEL BAY,
98648,CARIBBEAN AT KEPPEL BAY,
98656,CARIBBEAN AT KEPPEL BAY,
98717,63 WISHART ROAD SINGAPORE 098717,
98746,118 WISHART ROAD SINGAPORE 098746,
98753,120 WISHART ROAD SINGAPORE 098753,
98754,114A WISHART ROAD SINGAPORE 098754,
